zip_code,city,county,state
91901,Alpine,San Diego,CA
91902,Bonita,San Diego,CA
91903,Alpine,San Diego,CA
91905,Boulevard,San Diego,CA
91906,Campo,San Diego,CA
91908,Bonita,San Diego,CA
91909,Chula Vista,San Diego,CA
91910,Chula Vista,San Diego,CA
91911,Chula Vista,San Diego,CA
91912,Chula Vista,San Diego,CA
91913,Chula Vista,San Diego,CA
91914,Chula Vista,San Diego,CA
91915,Chula Vista,San Diego,CA
91916,Descanso,San Diego,CA
91917,Dulzura,San Diego,CA
91921,Chula Vista,San Diego,CA
91931,Guatay,San Diego,CA
91932,Imperial Beach,San Diego,CA
91933,Imperial Beach,San Diego,CA
91934,Jacumba,San Diego,CA
91935,Jamul,San Diego,CA
91941,La Mesa,San Diego,CA
91942,La Mesa,San Diego,CA
91943,La Mesa,San Diego,CA
91944,La Mesa,San Diego,CA
91945,Lemon Grove,San Diego,CA
91946,Lemon Grove,San Diego,CA
91947,Lincoln Acres,San Diego,CA
91948,Mount Laguna,San Diego,CA
91950,National City,San Diego,CA
91951,National City,San Diego,CA
91962,Pine Valley,San Diego,CA
91963,Potrero,San Diego,CA
91976,Spring Valley,San Diego,CA
91977,Spring Valley,San Diego,CA
91978,Spring Valley,San Diego,CA
91979,Spring Valley,San Diego,CA
91980,Tecate,San Diego,CA
91987,Tecate,San Diego,CA
92003,Bonsall,San Diego,CA
92004,Borrego Springs,San Diego,CA
92007,Cardiff By The Sea,San Diego,CA
92008,Carlsbad,San Diego,CA
92009,Carlsbad,San Diego,CA
92010,Carlsbad,San Diego,CA
92011,Carlsbad,San Diego,CA
92013,Carlsbad,San Diego,CA
92014,Del Mar,San Diego,CA
92018,Carlsbad,San Diego,CA
92019,El Cajon,San Diego,CA
92020,El Cajon,San Diego,CA
92021,El Cajon,San Diego,CA
92022,El Cajon,San Diego,CA
92023,Encinitas,San Diego,CA
92024,Encinitas,San Diego,CA
92025,Escondido,San Diego,CA
92026,Escondido,San Diego,CA
92027,Escondido,San Diego,CA
92028,Fallbrook,San Diego,CA
92029,Escondido,San Diego,CA
92030,Escondido,San Diego,CA
92033,Escondido,San Diego,CA
92036,Julian,San Diego,CA
92037,La Jolla,San Diego,CA
92038,La Jolla,San Diego,CA
92039,La Jolla,San Diego,CA
92040,Lakeside,San Diego,CA
92046,Escondido,San Diego,CA
92049,Oceanside,San Diego,CA
92051,Oceanside,San Diego,CA
92052,Oceanside,San Diego,CA
92054,Oceanside,San Diego,CA
92055,Camp Pendleton,San Diego,CA
92056,Oceanside,San Diego,CA
92057,Oceanside,San Diego,CA
92058,Oceanside,San Diego,CA
92059,Pala,San Diego,CA
92060,Palomar Mountain,San Diego,CA
92061,Pauma Valley,San Diego,CA
92064,Poway,San Diego,CA
92065,Ramona,San Diego,CA
92066,Ranchita,San Diego,CA
92067,Rancho Santa Fe,San Diego,CA
92068,San Luis Rey,San Diego,CA
92069,San Marcos,San Diego,CA
92070,Santa Ysabel,San Diego,CA
92071,Santee,San Diego,CA
92072,Santee,San Diego,CA
92074,Poway,San Diego,CA
92075,Solana Beach,San Diego,CA
92078,San Marcos,San Diego,CA
92079,San Marcos,San Diego,CA
92081,Vista,San Diego,CA
92082,Valley Center,San Diego,CA
92083,Vista,San Diego,CA
92084,Vista,San Diego,CA
